// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 267900.00 ns, 267.9000 us/op
WorkloadJitting  1: 1 op, 5155500.00 ns, 5.1555 ms/op

OverheadJitting  2: 16 op, 370500.00 ns, 23.1562 us/op
WorkloadJitting  2: 16 op, 1008800.00 ns, 63.0500 us/op

WorkloadPilot    1: 16 op, 796700.00 ns, 49.7938 us/op
WorkloadPilot    2: 32 op, 1693100.00 ns, 52.9094 us/op
WorkloadPilot    3: 64 op, 2292300.00 ns, 35.8172 us/op
WorkloadPilot    4: 128 op, 2461100.00 ns, 19.2273 us/op
WorkloadPilot    5: 256 op, 5299600.00 ns, 20.7016 us/op
WorkloadPilot    6: 512 op, 7598700.00 ns, 14.8412 us/op
WorkloadPilot    7: 1024 op, 14513500.00 ns, 14.1733 us/op
WorkloadPilot    8: 2048 op, 30664000.00 ns, 14.9727 us/op
WorkloadPilot    9: 4096 op, 51665000.00 ns, 12.6135 us/op
WorkloadPilot   10: 8192 op, 117355300.00 ns, 14.3256 us/op
WorkloadPilot   11: 16384 op, 156893800.00 ns, 9.5760 us/op
WorkloadPilot   12: 32768 op, 277003800.00 ns, 8.4535 us/op
WorkloadPilot   13: 65536 op, 545306900.00 ns, 8.3207 us/op

OverheadWarmup   1: 65536 op, 147000.00 ns, 2.2430 ns/op
OverheadWarmup   2: 65536 op, 137800.00 ns, 2.1027 ns/op
OverheadWarmup   3: 65536 op, 137300.00 ns, 2.0950 ns/op
OverheadWarmup   4: 65536 op, 176900.00 ns, 2.6993 ns/op
OverheadWarmup   5: 65536 op, 138100.00 ns, 2.1072 ns/op
OverheadWarmup   6: 65536 op, 137300.00 ns, 2.0950 ns/op
OverheadWarmup   7: 65536 op, 148100.00 ns, 2.2598 ns/op
OverheadWarmup   8: 65536 op, 138400.00 ns, 2.1118 ns/op

OverheadActual   1: 65536 op, 137400.00 ns, 2.0966 ns/op
OverheadActual   2: 65536 op, 157400.00 ns, 2.4017 ns/op
OverheadActual   3: 65536 op, 148200.00 ns, 2.2614 ns/op
OverheadActual   4: 65536 op, 139400.00 ns, 2.1271 ns/op
OverheadActual   5: 65536 op, 146600.00 ns, 2.2369 ns/op
OverheadActual   6: 65536 op, 137400.00 ns, 2.0966 ns/op
OverheadActual   7: 65536 op, 151700.00 ns, 2.3148 ns/op
OverheadActual   8: 65536 op, 176200.00 ns, 2.6886 ns/op
OverheadActual   9: 65536 op, 137200.00 ns, 2.0935 ns/op
OverheadActual  10: 65536 op, 166200.00 ns, 2.5360 ns/op
OverheadActual  11: 65536 op, 144600.00 ns, 2.2064 ns/op
OverheadActual  12: 65536 op, 153600.00 ns, 2.3438 ns/op
OverheadActual  13: 65536 op, 137600.00 ns, 2.0996 ns/op
OverheadActual  14: 65536 op, 137400.00 ns, 2.0966 ns/op
OverheadActual  15: 65536 op, 137700.00 ns, 2.1011 ns/op
