// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 440000.00 ns, 440.0000 us/op
WorkloadJitting  1: 1 op, 2991000.00 ns, 2.9910 ms/op

OverheadJitting  2: 16 op, 2007300.00 ns, 125.4562 us/op
WorkloadJitting  2: 16 op, 1098300.00 ns, 68.6437 us/op

WorkloadPilot    1: 16 op, 10900.00 ns, 681.2500 ns/op
WorkloadPilot    2: 32 op, 21700.00 ns, 678.1250 ns/op
WorkloadPilot    3: 64 op, 29700.00 ns, 464.0625 ns/op
WorkloadPilot    4: 128 op, 42100.00 ns, 328.9062 ns/op
WorkloadPilot    5: 256 op, 75100.00 ns, 293.3594 ns/op
WorkloadPilot    6: 512 op, 122700.00 ns, 239.6484 ns/op
WorkloadPilot    7: 1024 op, 208800.00 ns, 203.9062 ns/op
WorkloadPilot    8: 2048 op, 377900.00 ns, 184.5215 ns/op
WorkloadPilot    9: 4096 op, 684500.00 ns, 167.1143 ns/op
WorkloadPilot   10: 8192 op, 1188200.00 ns, 145.0439 ns/op
