// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 5 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomClassPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomNonRefPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomRefPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 618800.00 ns, 618.8000 us/op
WorkloadJitting  1: 1 op, 1623800.00 ns, 1.6238 ms/op

OverheadJitting  2: 16 op, 1378500.00 ns, 86.1562 us/op
WorkloadJitting  2: 16 op, 2334100.00 ns, 145.8812 us/op

WorkloadPilot    1: 16 op, 7200.00 ns, 450.0000 ns/op
WorkloadPilot    2: 32 op, 2600.00 ns, 81.2500 ns/op
WorkloadPilot    3: 64 op, 3800.00 ns, 59.3750 ns/op
WorkloadPilot    4: 128 op, 6300.00 ns, 49.2188 ns/op
WorkloadPilot    5: 256 op, 9800.00 ns, 38.2812 ns/op
WorkloadPilot    6: 512 op, 21500.00 ns, 41.9922 ns/op
WorkloadPilot    7: 1024 op, 32200.00 ns, 31.4453 ns/op
WorkloadPilot    8: 2048 op, 70100.00 ns, 34.2285 ns/op
WorkloadPilot    9: 4096 op, 124400.00 ns, 30.3711 ns/op
WorkloadPilot   10: 8192 op, 266700.00 ns, 32.5562 ns/op
WorkloadPilot   11: 16384 op, 480200.00 ns, 29.3091 ns/op
WorkloadPilot   12: 32768 op, 1050600.00 ns, 32.0618 ns/op
WorkloadPilot   13: 65536 op, 1905700.00 ns, 29.0787 ns/op
WorkloadPilot   14: 131072 op, 3682300.00 ns, 28.0937 ns/op
WorkloadPilot   15: 262144 op, 7454800.00 ns, 28.4378 ns/op
WorkloadPilot   16: 524288 op, 15898300.00 ns, 30.3236 ns/op
WorkloadPilot   17: 1048576 op, 29825300.00 ns, 28.4436 ns/op
WorkloadPilot   18: 2097152 op, 59570300.00 ns, 28.4053 ns/op
WorkloadPilot   19: 4194304 op, 119881000.00 ns, 28.5819 ns/op
WorkloadPilot   20: 8388608 op, 237744100.00 ns, 28.3413 ns/op
WorkloadPilot   21: 16777216 op, 473030900.00 ns, 28.1948 ns/op
WorkloadPilot   22: 33554432 op, 948438500.00 ns, 28.2657 ns/op

OverheadWarmup   1: 33554432 op, 182886200.00 ns, 5.4504 ns/op
OverheadWarmup   2: 33554432 op, 182291100.00 ns, 5.4327 ns/op
OverheadWarmup   3: 33554432 op, 182781000.00 ns, 5.4473 ns/op
OverheadWarmup   4: 33554432 op, 182780600.00 ns, 5.4473 ns/op
OverheadWarmup   5: 33554432 op, 183860100.00 ns, 5.4795 ns/op
OverheadWarmup   6: 33554432 op, 186520600.00 ns, 5.5587 ns/op
OverheadWarmup   7: 33554432 op, 182493900.00 ns, 5.4387 ns/op

OverheadActual   1: 33554432 op, 182898100.00 ns, 5.4508 ns/op
OverheadActual   2: 33554432 op, 183038700.00 ns, 5.4550 ns/op
OverheadActual   3: 33554432 op, 185656600.00 ns, 5.5330 ns/op
OverheadActual   4: 33554432 op, 186962600.00 ns, 5.5719 ns/op
OverheadActual   5: 33554432 op, 182616700.00 ns, 5.4424 ns/op
OverheadActual   6: 33554432 op, 183346500.00 ns, 5.4642 ns/op
OverheadActual   7: 33554432 op, 184201000.00 ns, 5.4896 ns/op
OverheadActual   8: 33554432 op, 182647300.00 ns, 5.4433 ns/op
OverheadActual   9: 33554432 op, 182371400.00 ns, 5.4351 ns/op
OverheadActual  10: 33554432 op, 182416200.00 ns, 5.4364 ns/op
OverheadActual  11: 33554432 op, 182553800.00 ns, 5.4405 ns/op
OverheadActual  12: 33554432 op, 182701200.00 ns, 5.4449 ns/op
