// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 396300.00 ns, 396.3000 us/op
WorkloadJitting  1: 1 op, 4040500.00 ns, 4.0405 ms/op

OverheadJitting  2: 16 op, 993400.00 ns, 62.0875 us/op
WorkloadJitting  2: 16 op, 1650500.00 ns, 103.1562 us/op

WorkloadPilot    1: 16 op, 9500.00 ns, 593.7500 ns/op
WorkloadPilot    2: 32 op, 9800.00 ns, 306.2500 ns/op
WorkloadPilot    3: 64 op, 13400.00 ns, 209.3750 ns/op
WorkloadPilot    4: 128 op, 24700.00 ns, 192.9688 ns/op
WorkloadPilot    5: 256 op, 54000.00 ns, 210.9375 ns/op
WorkloadPilot    6: 512 op, 57200.00 ns, 111.7188 ns/op
WorkloadPilot    7: 1024 op, 118200.00 ns, 115.4297 ns/op
WorkloadPilot    8: 2048 op, 225300.00 ns, 110.0098 ns/op
WorkloadPilot    9: 4096 op, 387500.00 ns, 94.6045 ns/op
WorkloadPilot   10: 8192 op, 853200.00 ns, 104.1504 ns/op
WorkloadPilot   11: 16384 op, 1550700.00 ns, 94.6472 ns/op
WorkloadPilot   12: 32768 op, 3039500.00 ns, 92.7582 ns/op
WorkloadPilot   13: 65536 op, 6250700.00 ns, 95.3781 ns/op
WorkloadPilot   14: 131072 op, 11812900.00 ns, 90.1253 ns/op
WorkloadPilot   15: 262144 op, 22772200.00 ns, 86.8690 ns/op
WorkloadPilot   16: 524288 op, 50385300.00 ns, 96.1023 ns/op
WorkloadPilot   17: 1048576 op, 102820300.00 ns, 98.0571 ns/op
WorkloadPilot   18: 2097152 op, 204413500.00 ns, 97.4720 ns/op
WorkloadPilot   19: 4194304 op, 429219900.00 ns, 102.3340 ns/op
WorkloadPilot   20: 8388608 op, 754435800.00 ns, 89.9358 ns/op

OverheadWarmup   1: 8388608 op, 45113700.00 ns, 5.3780 ns/op
OverheadWarmup   2: 8388608 op, 45521700.00 ns, 5.4266 ns/op
OverheadWarmup   3: 8388608 op, 45430300.00 ns, 5.4157 ns/op
OverheadWarmup   4: 8388608 op, 45121200.00 ns, 5.3789 ns/op
OverheadWarmup   5: 8388608 op, 45494600.00 ns, 5.4234 ns/op
OverheadWarmup   6: 8388608 op, 45070000.00 ns, 5.3728 ns/op

OverheadActual   1: 8388608 op, 45445200.00 ns, 5.4175 ns/op
OverheadActual   2: 8388608 op, 45128500.00 ns, 5.3797 ns/op
OverheadActual   3: 8388608 op, 45065700.00 ns, 5.3723 ns/op
OverheadActual   4: 8388608 op, 45238300.00 ns, 5.3928 ns/op
OverheadActual   5: 8388608 op, 45442500.00 ns, 5.4172 ns/op
OverheadActual   6: 8388608 op, 45102000.00 ns, 5.3766 ns/op
OverheadActual   7: 8388608 op, 45427900.00 ns, 5.4154 ns/op
OverheadActual   8: 8388608 op, 45089400.00 ns, 5.3751 ns/op
OverheadActual   9: 8388608 op, 45053200.00 ns, 5.3708 ns/op
OverheadActual  10: 8388608 op, 45353400.00 ns, 5.4065 ns/op
OverheadActual  11: 8388608 op, 45357500.00 ns, 5.4070 ns/op
OverheadActual  12: 8388608 op, 45118200.00 ns, 5.3785 ns/op
