// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KAAKYE(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 340300.00 ns, 340.3000 us/op
WorkloadJitting  1: 1 op, 2847400.00 ns, 2.8474 ms/op

OverheadJitting  2: 16 op, 1014700.00 ns, 63.4188 us/op
WorkloadJitting  2: 16 op, 1539200.00 ns, 96.2000 us/op

WorkloadPilot    1: 16 op, 11800.00 ns, 737.5000 ns/op
WorkloadPilot    2: 32 op, 8600.00 ns, 268.7500 ns/op
WorkloadPilot    3: 64 op, 14300.00 ns, 223.4375 ns/op
WorkloadPilot    4: 128 op, 26300.00 ns, 205.4688 ns/op
WorkloadPilot    5: 256 op, 39900.00 ns, 155.8594 ns/op
WorkloadPilot    6: 512 op, 69200.00 ns, 135.1562 ns/op
WorkloadPilot    7: 1024 op, 82400.00 ns, 80.4688 ns/op
WorkloadPilot    8: 2048 op, 299300.00 ns, 146.1426 ns/op
WorkloadPilot    9: 4096 op, 710100.00 ns, 173.3643 ns/op
WorkloadPilot   10: 8192 op, 1265500.00 ns, 154.4800 ns/op
WorkloadPilot   11: 16384 op, 2131200.00 ns, 130.0781 ns/op
WorkloadPilot   12: 32768 op, 3860900.00 ns, 117.8253 ns/op
