// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NVMJKU(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 505600.00 ns, 505.6000 us/op
WorkloadJitting  1: 1 op, 912400.00 ns, 912.4000 us/op

OverheadJitting  2: 16 op, 995300.00 ns, 62.2062 us/op
WorkloadJitting  2: 16 op, 1056000.00 ns, 66.0000 us/op

WorkloadPilot    1: 16 op, 8700.00 ns, 543.7500 ns/op
WorkloadPilot    2: 32 op, 2900.00 ns, 90.6250 ns/op
WorkloadPilot    3: 64 op, 4300.00 ns, 67.1875 ns/op
WorkloadPilot    4: 128 op, 5200.00 ns, 40.6250 ns/op
WorkloadPilot    5: 256 op, 9200.00 ns, 35.9375 ns/op
WorkloadPilot    6: 512 op, 16100.00 ns, 31.4453 ns/op
WorkloadPilot    7: 1024 op, 31100.00 ns, 30.3711 ns/op
WorkloadPilot    8: 2048 op, 60100.00 ns, 29.3457 ns/op
WorkloadPilot    9: 4096 op, 121800.00 ns, 29.7363 ns/op
WorkloadPilot   10: 8192 op, 238800.00 ns, 29.1504 ns/op
WorkloadPilot   11: 16384 op, 479900.00 ns, 29.2908 ns/op
WorkloadPilot   12: 32768 op, 982200.00 ns, 29.9744 ns/op
WorkloadPilot   13: 65536 op, 1902100.00 ns, 29.0237 ns/op
WorkloadPilot   14: 131072 op, 3880600.00 ns, 29.6066 ns/op
WorkloadPilot   15: 262144 op, 7680100.00 ns, 29.2973 ns/op
WorkloadPilot   16: 524288 op, 15616600.00 ns, 29.7863 ns/op
WorkloadPilot   17: 1048576 op, 30576100.00 ns, 29.1596 ns/op
WorkloadPilot   18: 2097152 op, 61193000.00 ns, 29.1791 ns/op
WorkloadPilot   19: 4194304 op, 122229700.00 ns, 29.1418 ns/op
WorkloadPilot   20: 8388608 op, 246925100.00 ns, 29.4358 ns/op
WorkloadPilot   21: 16777216 op, 488990400.00 ns, 29.1461 ns/op
WorkloadPilot   22: 33554432 op, 978293000.00 ns, 29.1554 ns/op

OverheadWarmup   1: 33554432 op, 178078200.00 ns, 5.3071 ns/op
OverheadWarmup   2: 33554432 op, 178234300.00 ns, 5.3118 ns/op
OverheadWarmup   3: 33554432 op, 178073200.00 ns, 5.3070 ns/op
OverheadWarmup   4: 33554432 op, 178132400.00 ns, 5.3088 ns/op
OverheadWarmup   5: 33554432 op, 178094800.00 ns, 5.3076 ns/op

OverheadActual   1: 33554432 op, 178467000.00 ns, 5.3187 ns/op
OverheadActual   2: 33554432 op, 178205100.00 ns, 5.3109 ns/op
OverheadActual   3: 33554432 op, 178460300.00 ns, 5.3185 ns/op
OverheadActual   4: 33554432 op, 178239000.00 ns, 5.3119 ns/op
OverheadActual   5: 33554432 op, 178351300.00 ns, 5.3153 ns/op
OverheadActual   6: 33554432 op, 178035400.00 ns, 5.3059 ns/op
OverheadActual   7: 33554432 op, 178319300.00 ns, 5.3143 ns/op
OverheadActual   8: 33554432 op, 178295200.00 ns, 5.3136 ns/op
OverheadActual   9: 33554432 op, 178245200.00 ns, 5.3121 ns/op
OverheadActual  10: 33554432 op, 178233300.00 ns, 5.3118 ns/op
OverheadActual  11: 33554432 op, 178754000.00 ns, 5.3273 ns/op
OverheadActual  12: 33554432 op, 178821600.00 ns, 5.3293 ns/op
OverheadActual  13: 33554432 op, 178286400.00 ns, 5.3133 ns/op
OverheadActual  14: 33554432 op, 178148200.00 ns, 5.3092 ns/op
OverheadActual  15: 33554432 op, 179774000.00 ns, 5.3577 ns/op

WorkloadWarmup   1: 33554432 op, 981882100.00 ns, 29.2624 ns/op
WorkloadWarmup   2: 33554432 op, 985163600.00 ns, 29.3602 ns/op
WorkloadWarmup   3: 33554432 op, 979254000.00 ns, 29.1840 ns/op
WorkloadWarmup   4: 33554432 op, 979943500.00 ns, 29.2046 ns/op
WorkloadWarmup   5: 33554432 op, 976904700.00 ns, 29.1140 ns/op
WorkloadWarmup   6: 33554432 op, 987683100.00 ns, 29.4353 ns/op

WorkloadActual   1: 33554432 op, 978947600.00 ns, 29.1749 ns/op
WorkloadActual   2: 33554432 op, 980188800.00 ns, 29.2119 ns/op
WorkloadActual   3: 33554432 op, 978931200.00 ns, 29.1744 ns/op
WorkloadActual   4: 33554432 op, 977227700.00 ns, 29.1237 ns/op
WorkloadActual   5: 33554432 op, 980207100.00 ns, 29.2124 ns/op
WorkloadActual   6: 33554432 op, 995666800.00 ns, 29.6732 ns/op
WorkloadActual   7: 33554432 op, 985526900.00 ns, 29.3710 ns/op
WorkloadActual   8: 33554432 op, 977363000.00 ns, 29.1277 ns/op
WorkloadActual   9: 33554432 op, 978898900.00 ns, 29.1735 ns/op
WorkloadActual  10: 33554432 op, 977886000.00 ns, 29.1433 ns/op
WorkloadActual  11: 33554432 op, 979944500.00 ns, 29.2046 ns/op
WorkloadActual  12: 33554432 op, 982230900.00 ns, 29.2728 ns/op
WorkloadActual  13: 33554432 op, 976407200.00 ns, 29.0992 ns/op
WorkloadActual  14: 33554432 op, 976858100.00 ns, 29.1126 ns/op
WorkloadActual  15: 33554432 op, 977585000.00 ns, 29.1343 ns/op

WorkloadResult   1: 33554432 op, 800652400.00 ns, 23.8613 ns/op
WorkloadResult   2: 33554432 op, 801893600.00 ns, 23.8983 ns/op
WorkloadResult   3: 33554432 op, 800636000.00 ns, 23.8608 ns/op
WorkloadResult   4: 33554432 op, 798932500.00 ns, 23.8100 ns/op
WorkloadResult   5: 33554432 op, 801911900.00 ns, 23.8988 ns/op
WorkloadResult   6: 33554432 op, 799067800.00 ns, 23.8141 ns/op
WorkloadResult   7: 33554432 op, 800603700.00 ns, 23.8598 ns/op
WorkloadResult   8: 33554432 op, 799590800.00 ns, 23.8297 ns/op
WorkloadResult   9: 33554432 op, 801649300.00 ns, 23.8910 ns/op
WorkloadResult  10: 33554432 op, 803935700.00 ns, 23.9592 ns/op
WorkloadResult  11: 33554432 op, 798112000.00 ns, 23.7856 ns/op
WorkloadResult  12: 33554432 op, 798562900.00 ns, 23.7990 ns/op
WorkloadResult  13: 33554432 op, 799289800.00 ns, 23.8207 ns/op
GC:  0 0 0 0 33554432


Mean = 23.8529 ns, StdErr = 0.0137 ns (0.06%); N = 13, StdDev = 0.0495 ns
Min = 23.7856 ns, Q1 = 23.8121 ns, Median = 23.8598 ns, Q3 = 23.8947 ns, Max = 23.9592 ns
IQR = 0.0826 ns, LowerFence = 23.6882 ns, UpperFence = 24.0185 ns
ConfidenceInterval = [23.7936 ns; 23.9123 ns] (CI 99.9%), Margin = 0.0593 ns (0.25% of Mean)
Skewness = 0.5, Kurtosis = 2.22, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NVMJKU(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 527400.00 ns, 527.4000 us/op
WorkloadJitting  1: 1 op, 1079000.00 ns, 1.0790 ms/op

OverheadJitting  2: 16 op, 998300.00 ns, 62.3937 us/op
WorkloadJitting  2: 16 op, 1363600.00 ns, 85.2250 us/op

WorkloadPilot    1: 16 op, 10800.00 ns, 675.0000 ns/op
WorkloadPilot    2: 32 op, 11600.00 ns, 362.5000 ns/op
WorkloadPilot    3: 64 op, 9000.00 ns, 140.6250 ns/op
WorkloadPilot    4: 128 op, 14800.00 ns, 115.6250 ns/op
WorkloadPilot    5: 256 op, 24000.00 ns, 93.7500 ns/op
WorkloadPilot    6: 512 op, 44900.00 ns, 87.6953 ns/op
WorkloadPilot    7: 1024 op, 81400.00 ns, 79.4922 ns/op
WorkloadPilot    8: 2048 op, 167100.00 ns, 81.5918 ns/op
WorkloadPilot    9: 4096 op, 317300.00 ns, 77.4658 ns/op
WorkloadPilot   10: 8192 op, 631100.00 ns, 77.0386 ns/op
WorkloadPilot   11: 16384 op, 1434600.00 ns, 87.5610 ns/op
WorkloadPilot   12: 32768 op, 2460800.00 ns, 75.0977 ns/op
WorkloadPilot   13: 65536 op, 4967800.00 ns, 75.8026 ns/op
WorkloadPilot   14: 131072 op, 9859200.00 ns, 75.2197 ns/op
WorkloadPilot   15: 262144 op, 20145800.00 ns, 76.8501 ns/op
WorkloadPilot   16: 524288 op, 39590600.00 ns, 75.5131 ns/op
