// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.12 sec)   *****
// Found 3 benchmarks:
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 257100.00 ns, 257.1000 us/op
WorkloadJitting  1: 1 op, 2304300.00 ns, 2.3043 ms/op

OverheadJitting  2: 16 op, 460500.00 ns, 28.7812 us/op
WorkloadJitting  2: 16 op, 448500.00 ns, 28.0312 us/op

WorkloadPilot    1: 16 op, 28700.00 ns, 1.7937 us/op
WorkloadPilot    2: 32 op, 17200.00 ns, 537.5000 ns/op
WorkloadPilot    3: 64 op, 25300.00 ns, 395.3125 ns/op
WorkloadPilot    4: 128 op, 38800.00 ns, 303.1250 ns/op
WorkloadPilot    5: 256 op, 68100.00 ns, 266.0156 ns/op
WorkloadPilot    6: 512 op, 142500.00 ns, 278.3203 ns/op
WorkloadPilot    7: 1024 op, 251700.00 ns, 245.8008 ns/op
WorkloadPilot    8: 2048 op, 531000.00 ns, 259.2773 ns/op
WorkloadPilot    9: 4096 op, 1396300.00 ns, 340.8936 ns/op
WorkloadPilot   10: 8192 op, 2882900.00 ns, 351.9165 ns/op
WorkloadPilot   11: 16384 op, 3117800.00 ns, 190.2954 ns/op
WorkloadPilot   12: 32768 op, 6532300.00 ns, 199.3500 ns/op
WorkloadPilot   13: 65536 op, 15090100.00 ns, 230.2567 ns/op
WorkloadPilot   14: 131072 op, 25378200.00 ns, 193.6203 ns/op
WorkloadPilot   15: 262144 op, 49345500.00 ns, 188.2381 ns/op
WorkloadPilot   16: 524288 op, 92194700.00 ns, 175.8474 ns/op
WorkloadPilot   17: 1048576 op, 183355200.00 ns, 174.8611 ns/op
WorkloadPilot   18: 2097152 op, 364791700.00 ns, 173.9462 ns/op
WorkloadPilot   19: 4194304 op, 842917600.00 ns, 200.9672 ns/op

OverheadWarmup   1: 4194304 op, 10284200.00 ns, 2.4519 ns/op
OverheadWarmup   2: 4194304 op, 8832000.00 ns, 2.1057 ns/op
OverheadWarmup   3: 4194304 op, 8824200.00 ns, 2.1039 ns/op
OverheadWarmup   4: 4194304 op, 8841500.00 ns, 2.1080 ns/op
OverheadWarmup   5: 4194304 op, 9088300.00 ns, 2.1668 ns/op
OverheadWarmup   6: 4194304 op, 9046800.00 ns, 2.1569 ns/op
OverheadWarmup   7: 4194304 op, 8822300.00 ns, 2.1034 ns/op
OverheadWarmup   8: 4194304 op, 8793800.00 ns, 2.0966 ns/op
OverheadWarmup   9: 4194304 op, 8847300.00 ns, 2.1094 ns/op
OverheadWarmup  10: 4194304 op, 8842700.00 ns, 2.1083 ns/op

OverheadActual   1: 4194304 op, 8990300.00 ns, 2.1435 ns/op
OverheadActual   2: 4194304 op, 8841800.00 ns, 2.1080 ns/op
OverheadActual   3: 4194304 op, 8958100.00 ns, 2.1358 ns/op
OverheadActual   4: 4194304 op, 8765000.00 ns, 2.0897 ns/op
OverheadActual   5: 4194304 op, 8787600.00 ns, 2.0951 ns/op
OverheadActual   6: 4194304 op, 8789200.00 ns, 2.0955 ns/op
OverheadActual   7: 4194304 op, 8856700.00 ns, 2.1116 ns/op
OverheadActual   8: 4194304 op, 8815200.00 ns, 2.1017 ns/op
OverheadActual   9: 4194304 op, 8817600.00 ns, 2.1023 ns/op
OverheadActual  10: 4194304 op, 8819500.00 ns, 2.1027 ns/op
OverheadActual  11: 4194304 op, 8818300.00 ns, 2.1024 ns/op
OverheadActual  12: 4194304 op, 8832500.00 ns, 2.1058 ns/op
OverheadActual  13: 4194304 op, 8902900.00 ns, 2.1226 ns/op
OverheadActual  14: 4194304 op, 8905400.00 ns, 2.1232 ns/op
OverheadActual  15: 4194304 op, 8825500.00 ns, 2.1042 ns/op

WorkloadWarmup   1: 4194304 op, 742175000.00 ns, 176.9483 ns/op
WorkloadWarmup   2: 4194304 op, 734536200.00 ns, 175.1271 ns/op
WorkloadWarmup   3: 4194304 op, 730457700.00 ns, 174.1547 ns/op
WorkloadWarmup   4: 4194304 op, 731559900.00 ns, 174.4175 ns/op
WorkloadWarmup   5: 4194304 op, 727042500.00 ns, 173.3404 ns/op
WorkloadWarmup   6: 4194304 op, 730320400.00 ns, 174.1220 ns/op
WorkloadWarmup   7: 4194304 op, 729354700.00 ns, 173.8917 ns/op

WorkloadActual   1: 4194304 op, 732363700.00 ns, 174.6091 ns/op
WorkloadActual   2: 4194304 op, 734682600.00 ns, 175.1620 ns/op
