// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain)
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain)
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DJHQMX(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 506600.00 ns, 506.6000 us/op
WorkloadJitting  1: 1 op, 3782200.00 ns, 3.7822 ms/op

OverheadJitting  2: 16 op, 1192000.00 ns, 74.5000 us/op
WorkloadJitting  2: 16 op, 1360200.00 ns, 85.0125 us/op

WorkloadPilot    1: 16 op, 19700.00 ns, 1.2312 us/op
WorkloadPilot    2: 32 op, 11100.00 ns, 346.8750 ns/op
WorkloadPilot    3: 64 op, 14000.00 ns, 218.7500 ns/op
WorkloadPilot    4: 128 op, 31500.00 ns, 246.0938 ns/op
WorkloadPilot    5: 256 op, 55000.00 ns, 214.8438 ns/op
WorkloadPilot    6: 512 op, 300500.00 ns, 586.9141 ns/op
WorkloadPilot    7: 1024 op, 110700.00 ns, 108.1055 ns/op
WorkloadPilot    8: 2048 op, 313600.00 ns, 153.1250 ns/op
WorkloadPilot    9: 4096 op, 487100.00 ns, 118.9209 ns/op
WorkloadPilot   10: 8192 op, 1488900.00 ns, 181.7505 ns/op
WorkloadPilot   11: 16384 op, 3188600.00 ns, 194.6167 ns/op
WorkloadPilot   12: 32768 op, 3244200.00 ns, 99.0051 ns/op
WorkloadPilot   13: 65536 op, 6465400.00 ns, 98.6542 ns/op
WorkloadPilot   14: 131072 op, 13008500.00 ns, 99.2470 ns/op
WorkloadPilot   15: 262144 op, 24474000.00 ns, 93.3609 ns/op
WorkloadPilot   16: 524288 op, 44953800.00 ns, 85.7426 ns/op
WorkloadPilot   17: 1048576 op, 99568700.00 ns, 94.9561 ns/op
WorkloadPilot   18: 2097152 op, 183963400.00 ns, 87.7206 ns/op
WorkloadPilot   19: 4194304 op, 349877600.00 ns, 83.4173 ns/op
WorkloadPilot   20: 8388608 op, 696680500.00 ns, 83.0508 ns/op

OverheadWarmup   1: 8388608 op, 38578500.00 ns, 4.5989 ns/op
OverheadWarmup   2: 8388608 op, 39155600.00 ns, 4.6677 ns/op
OverheadWarmup   3: 8388608 op, 40227400.00 ns, 4.7955 ns/op
OverheadWarmup   4: 8388608 op, 38592900.00 ns, 4.6006 ns/op
OverheadWarmup   5: 8388608 op, 40592300.00 ns, 4.8390 ns/op
OverheadWarmup   6: 8388608 op, 38777500.00 ns, 4.6226 ns/op

OverheadActual   1: 8388608 op, 40948500.00 ns, 4.8814 ns/op
OverheadActual   2: 8388608 op, 38967500.00 ns, 4.6453 ns/op
OverheadActual   3: 8388608 op, 39053600.00 ns, 4.6556 ns/op
OverheadActual   4: 8388608 op, 40793400.00 ns, 4.8630 ns/op
OverheadActual   5: 8388608 op, 40145300.00 ns, 4.7857 ns/op
OverheadActual   6: 8388608 op, 39173800.00 ns, 4.6699 ns/op
OverheadActual   7: 8388608 op, 38719100.00 ns, 4.6157 ns/op
OverheadActual   8: 8388608 op, 39198600.00 ns, 4.6728 ns/op
OverheadActual   9: 8388608 op, 38661200.00 ns, 4.6088 ns/op
OverheadActual  10: 8388608 op, 38814500.00 ns, 4.6270 ns/op
OverheadActual  11: 8388608 op, 38393100.00 ns, 4.5768 ns/op
OverheadActual  12: 8388608 op, 38572500.00 ns, 4.5982 ns/op
OverheadActual  13: 8388608 op, 38627000.00 ns, 4.6047 ns/op
OverheadActual  14: 8388608 op, 38933500.00 ns, 4.6412 ns/op
OverheadActual  15: 8388608 op, 39737600.00 ns, 4.7371 ns/op

WorkloadWarmup   1: 8388608 op, 726520300.00 ns, 86.6080 ns/op
WorkloadWarmup   2: 8388608 op, 701085400.00 ns, 83.5759 ns/op
WorkloadWarmup   3: 8388608 op, 694266200.00 ns, 82.7630 ns/op
WorkloadWarmup   4: 8388608 op, 717213700.00 ns, 85.4985 ns/op
WorkloadWarmup   5: 8388608 op, 699056500.00 ns, 83.3340 ns/op
WorkloadWarmup   6: 8388608 op, 709176600.00 ns, 84.5404 ns/op
WorkloadWarmup   7: 8388608 op, 695537100.00 ns, 82.9145 ns/op

WorkloadActual   1: 8388608 op, 695462000.00 ns, 82.9055 ns/op
WorkloadActual   2: 8388608 op, 703446900.00 ns, 83.8574 ns/op
WorkloadActual   3: 8388608 op, 701043900.00 ns, 83.5709 ns/op
WorkloadActual   4: 8388608 op, 699790800.00 ns, 83.4216 ns/op
WorkloadActual   5: 8388608 op, 697744600.00 ns, 83.1776 ns/op
WorkloadActual   6: 8388608 op, 702212300.00 ns, 83.7102 ns/op
WorkloadActual   7: 8388608 op, 701521500.00 ns, 83.6279 ns/op
WorkloadActual   8: 8388608 op, 731517600.00 ns, 87.2037 ns/op
WorkloadActual   9: 8388608 op, 697042000.00 ns, 83.0939 ns/op
WorkloadActual  10: 8388608 op, 708202200.00 ns, 84.4243 ns/op
WorkloadActual  11: 8388608 op, 706511500.00 ns, 84.2227 ns/op
WorkloadActual  12: 8388608 op, 706485100.00 ns, 84.2196 ns/op
WorkloadActual  13: 8388608 op, 735512400.00 ns, 87.6799 ns/op
WorkloadActual  14: 8388608 op, 709242800.00 ns, 84.5483 ns/op
WorkloadActual  15: 8388608 op, 704719200.00 ns, 84.0091 ns/op

WorkloadResult   1: 8388608 op, 656494500.00 ns, 78.2602 ns/op
WorkloadResult   2: 8388608 op, 664479400.00 ns, 79.2121 ns/op
