// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.17 sec)   *****
// Found 6 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UBBYUW(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 472800.00 ns, 472.8000 us/op
WorkloadJitting  1: 1 op, 5084200.00 ns, 5.0842 ms/op

OverheadJitting  2: 16 op, 1595000.00 ns, 99.6875 us/op
WorkloadJitting  2: 16 op, 1093600.00 ns, 68.3500 us/op

WorkloadPilot    1: 16 op, 16200.00 ns, 1.0125 us/op
WorkloadPilot    2: 32 op, 15200.00 ns, 475.0000 ns/op
WorkloadPilot    3: 64 op, 14200.00 ns, 221.8750 ns/op
WorkloadPilot    4: 128 op, 19000.00 ns, 148.4375 ns/op
WorkloadPilot    5: 256 op, 82100.00 ns, 320.7031 ns/op
WorkloadPilot    6: 512 op, 83100.00 ns, 162.3047 ns/op
WorkloadPilot    7: 1024 op, 166800.00 ns, 162.8906 ns/op
WorkloadPilot    8: 2048 op, 329000.00 ns, 160.6445 ns/op
WorkloadPilot    9: 4096 op, 1104300.00 ns, 269.6045 ns/op
WorkloadPilot   10: 8192 op, 1884500.00 ns, 230.0415 ns/op
WorkloadPilot   11: 16384 op, 3883700.00 ns, 237.0422 ns/op
WorkloadPilot   12: 32768 op, 6443600.00 ns, 196.6431 ns/op
WorkloadPilot   13: 65536 op, 13324100.00 ns, 203.3096 ns/op
WorkloadPilot   14: 131072 op, 17135200.00 ns, 130.7312 ns/op
WorkloadPilot   15: 262144 op, 25464200.00 ns, 97.1382 ns/op
WorkloadPilot   16: 524288 op, 49448500.00 ns, 94.3155 ns/op
WorkloadPilot   17: 1048576 op, 98060700.00 ns, 93.5180 ns/op
WorkloadPilot   18: 2097152 op, 211986900.00 ns, 101.0832 ns/op
WorkloadPilot   19: 4194304 op, 387229300.00 ns, 92.3227 ns/op
WorkloadPilot   20: 8388608 op, 794093000.00 ns, 94.6633 ns/op

OverheadWarmup   1: 8388608 op, 38474100.00 ns, 4.5865 ns/op
OverheadWarmup   2: 8388608 op, 38368800.00 ns, 4.5739 ns/op
OverheadWarmup   3: 8388608 op, 39261100.00 ns, 4.6803 ns/op
OverheadWarmup   4: 8388608 op, 37885800.00 ns, 4.5163 ns/op
OverheadWarmup   5: 8388608 op, 39190400.00 ns, 4.6719 ns/op
OverheadWarmup   6: 8388608 op, 38407900.00 ns, 4.5786 ns/op

OverheadActual   1: 8388608 op, 38468100.00 ns, 4.5858 ns/op
