// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 469000.00 ns, 469.0000 us/op
WorkloadJitting  1: 1 op, 4061800.00 ns, 4.0618 ms/op

OverheadJitting  2: 16 op, 1127300.00 ns, 70.4562 us/op
WorkloadJitting  2: 16 op, 1466000.00 ns, 91.6250 us/op

WorkloadPilot    1: 16 op, 14400.00 ns, 900.0000 ns/op
WorkloadPilot    2: 32 op, 21500.00 ns, 671.8750 ns/op
WorkloadPilot    3: 64 op, 30200.00 ns, 471.8750 ns/op
WorkloadPilot    4: 128 op, 57200.00 ns, 446.8750 ns/op
WorkloadPilot    5: 256 op, 81300.00 ns, 317.5781 ns/op
WorkloadPilot    6: 512 op, 133700.00 ns, 261.1328 ns/op
WorkloadPilot    7: 1024 op, 195000.00 ns, 190.4297 ns/op
WorkloadPilot    8: 2048 op, 465100.00 ns, 227.0996 ns/op
WorkloadPilot    9: 4096 op, 1295600.00 ns, 316.3086 ns/op
WorkloadPilot   10: 8192 op, 1581200.00 ns, 193.0176 ns/op
WorkloadPilot   11: 16384 op, 2205000.00 ns, 134.5825 ns/op
WorkloadPilot   12: 32768 op, 4267500.00 ns, 130.2338 ns/op
WorkloadPilot   13: 65536 op, 8356200.00 ns, 127.5055 ns/op
WorkloadPilot   14: 131072 op, 15924500.00 ns, 121.4943 ns/op
WorkloadPilot   15: 262144 op, 27394000.00 ns, 104.4998 ns/op
WorkloadPilot   16: 524288 op, 52481800.00 ns, 100.1011 ns/op
WorkloadPilot   17: 1048576 op, 100785200.00 ns, 96.1163 ns/op
WorkloadPilot   18: 2097152 op, 207204500.00 ns, 98.8028 ns/op
WorkloadPilot   19: 4194304 op, 396290300.00 ns, 94.4830 ns/op
WorkloadPilot   20: 8388608 op, 827318100.00 ns, 98.6240 ns/op

OverheadWarmup   1: 8388608 op, 39173900.00 ns, 4.6699 ns/op
OverheadWarmup   2: 8388608 op, 38081900.00 ns, 4.5397 ns/op
OverheadWarmup   3: 8388608 op, 37479500.00 ns, 4.4679 ns/op
OverheadWarmup   4: 8388608 op, 39235100.00 ns, 4.6772 ns/op
OverheadWarmup   5: 8388608 op, 38942200.00 ns, 4.6423 ns/op
OverheadWarmup   6: 8388608 op, 39224600.00 ns, 4.6759 ns/op
OverheadWarmup   7: 8388608 op, 37954900.00 ns, 4.5246 ns/op

OverheadActual   1: 8388608 op, 40670400.00 ns, 4.8483 ns/op
OverheadActual   2: 8388608 op, 38167600.00 ns, 4.5499 ns/op
OverheadActual   3: 8388608 op, 38930900.00 ns, 4.6409 ns/op
OverheadActual   4: 8388608 op, 38026400.00 ns, 4.5331 ns/op
OverheadActual   5: 8388608 op, 38356800.00 ns, 4.5725 ns/op
OverheadActual   6: 8388608 op, 38496000.00 ns, 4.5891 ns/op
OverheadActual   7: 8388608 op, 38565400.00 ns, 4.5974 ns/op
OverheadActual   8: 8388608 op, 38718800.00 ns, 4.6156 ns/op
OverheadActual   9: 8388608 op, 39640800.00 ns, 4.7256 ns/op
OverheadActual  10: 8388608 op, 40131800.00 ns, 4.7841 ns/op
OverheadActual  11: 8388608 op, 37768200.00 ns, 4.5023 ns/op
OverheadActual  12: 8388608 op, 38971600.00 ns, 4.6458 ns/op
OverheadActual  13: 8388608 op, 38513700.00 ns, 4.5912 ns/op
OverheadActual  14: 8388608 op, 39536000.00 ns, 4.7131 ns/op
OverheadActual  15: 8388608 op, 38965300.00 ns, 4.6450 ns/op

