// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.14 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 387700.00 ns, 387.7000 us/op
WorkloadJitting  1: 1 op, 3191300.00 ns, 3.1913 ms/op

OverheadJitting  2: 16 op, 1516800.00 ns, 94.8000 us/op
WorkloadJitting  2: 16 op, 1488800.00 ns, 93.0500 us/op

WorkloadPilot    1: 16 op, 65700.00 ns, 4.1063 us/op
WorkloadPilot    2: 32 op, 40500.00 ns, 1.2656 us/op
WorkloadPilot    3: 64 op, 18100.00 ns, 282.8125 ns/op
WorkloadPilot    4: 128 op, 49300.00 ns, 385.1562 ns/op
WorkloadPilot    5: 256 op, 62300.00 ns, 243.3594 ns/op
WorkloadPilot    6: 512 op, 99900.00 ns, 195.1172 ns/op
WorkloadPilot    7: 1024 op, 172900.00 ns, 168.8477 ns/op
WorkloadPilot    8: 2048 op, 367300.00 ns, 179.3457 ns/op
WorkloadPilot    9: 4096 op, 487000.00 ns, 118.8965 ns/op
WorkloadPilot   10: 8192 op, 1170800.00 ns, 142.9199 ns/op
WorkloadPilot   11: 16384 op, 2497600.00 ns, 152.4414 ns/op
WorkloadPilot   12: 32768 op, 3353000.00 ns, 102.3254 ns/op
WorkloadPilot   13: 65536 op, 6801500.00 ns, 103.7827 ns/op
WorkloadPilot   14: 131072 op, 13101900.00 ns, 99.9596 ns/op
WorkloadPilot   15: 262144 op, 21626900.00 ns, 82.5001 ns/op
WorkloadPilot   16: 524288 op, 43924800.00 ns, 83.7799 ns/op
WorkloadPilot   17: 1048576 op, 85796400.00 ns, 81.8218 ns/op
WorkloadPilot   18: 2097152 op, 181859500.00 ns, 86.7174 ns/op
WorkloadPilot   19: 4194304 op, 333892200.00 ns, 79.6061 ns/op
WorkloadPilot   20: 8388608 op, 655092900.00 ns, 78.0932 ns/op

