// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 247300.00 ns, 247.3000 us/op
WorkloadJitting  1: 1 op, 1874800.00 ns, 1.8748 ms/op

OverheadJitting  2: 16 op, 441700.00 ns, 27.6062 us/op
WorkloadJitting  2: 16 op, 2839200.00 ns, 177.4500 us/op

WorkloadPilot    1: 16 op, 1983300.00 ns, 123.9562 us/op
WorkloadPilot    2: 32 op, 3988900.00 ns, 124.6531 us/op
WorkloadPilot    3: 64 op, 5109800.00 ns, 79.8406 us/op
WorkloadPilot    4: 128 op, 7001000.00 ns, 54.6953 us/op
WorkloadPilot    5: 256 op, 6225300.00 ns, 24.3176 us/op
WorkloadPilot    6: 512 op, 14769600.00 ns, 28.8469 us/op
WorkloadPilot    7: 1024 op, 25871900.00 ns, 25.2655 us/op
WorkloadPilot    8: 2048 op, 50176700.00 ns, 24.5003 us/op
WorkloadPilot    9: 4096 op, 88021200.00 ns, 21.4896 us/op
WorkloadPilot   10: 8192 op, 135874000.00 ns, 16.5862 us/op
WorkloadPilot   11: 16384 op, 251034000.00 ns, 15.3219 us/op
WorkloadPilot   12: 32768 op, 441954000.00 ns, 13.4874 us/op
WorkloadPilot   13: 65536 op, 858327000.00 ns, 13.0970 us/op

OverheadWarmup   1: 65536 op, 142900.00 ns, 2.1805 ns/op
OverheadWarmup   2: 65536 op, 144700.00 ns, 2.2079 ns/op
OverheadWarmup   3: 65536 op, 147300.00 ns, 2.2476 ns/op
OverheadWarmup   4: 65536 op, 195100.00 ns, 2.9770 ns/op
OverheadWarmup   5: 65536 op, 139100.00 ns, 2.1225 ns/op
OverheadWarmup   6: 65536 op, 139000.00 ns, 2.1210 ns/op
OverheadWarmup   7: 65536 op, 139400.00 ns, 2.1271 ns/op
OverheadWarmup   8: 65536 op, 192300.00 ns, 2.9343 ns/op
OverheadWarmup   9: 65536 op, 140600.00 ns, 2.1454 ns/op

OverheadActual   1: 65536 op, 144100.00 ns, 2.1988 ns/op
